country,continent,sovereignty_date,sovereignty_date_precision,sovereignty_date_raw,last_subordination_date,last_subordination_date_precision,last_subordination_date_raw,previous_power,notes,capital
Dominican Republic,The Americas,1844-02-27,full,27 Feb 1844,1844-02-27,full,27 Feb 1844,Haiti,1844–present: Dominican Republic,Santo Domingo
Ecuador,The Americas,1830-05-13,full,13 May 1830,1830-05-13,full,13 May 1830,Gran Colombia,1830–present: Republic of Ecuador,Quito
Egypt,Africa/Asia,1922-02-28,full,28 Feb 1922,1922-02-28,full,28 Feb 1922,United Kingdom,1971–present: Arab Republic of Egypt 1958–1971: United Arab Republic 1953–1958: Arab Republic of Egypt 1922–1953: Kingdom of Egypt,Cairo
El Salvador,The Americas,1841-02-01,full,1 Feb 1841,1841-02-01,full,1 Feb 1841,Federal Republic of Central America,1982–present: Republic of El Salvador 1979–1982: Revolutionary Junta of El Salvador 1922–1979: Republic of El Salvador 1921-1922:  In union with other Central American states in the Federation of Central America ( confederation ) 1898-1921: Republic of El Salvador 1896–1898: In union with other Central American states in the Greater Republic of Central America ( confederation ) 1841-1898: Republic of El Salvador,San Salvador
Equatorial Guinea,Africa,1968-10-12,full,12 Oct 1968,1968-10-12,full,12 Oct 1968,Spain,1968–present: Republic of Equatorial Guinea,Malabo
Eritrea,Africa,1993-05-24,full,24 May 1993,1993-05-24,full,24 May 1993,Ethiopia,1993–present: State of Eritrea,Asmara
Estonia,Europe,1918-02-24,full,24 Feb 1918,1991-08-20,full,20 Aug 1991,Soviet Union,"1991–present: Republic of Estonia 1944-1991: Estonian government-in-exile 1940–1991: Estonian Diplomatic Service and Estonian government-in-exile (Occupation by the Soviet Union (1940–1941), Germany (1941–1944) and again by the Soviet Union (1944–1991) 1918–1940: Republic of Estonia",Tallinn
Eswatini,Africa,1968-09-06,full,6 Sep 1968,1968-09-06,full,6 Sep 1968,United Kingdom,2018–present: Kingdom of Eswatini 1968–2018: Kingdom of Swaziland,Lobamba (royal and legislative) and Mbabane (administrative)
Ethiopia,Africa,1137,year,1137 c.,1941-05-05,full,5 May 1941,Italy,"1995–present: Federal Democratic Republic of Ethiopia , a federation 1991–1995: Transitional Government of Ethiopia 1987–1991: People's Democratic Republic of Ethiopia 1974–1987: Provisional Military Government of Socialist Ethiopia 1941–1974: Ethiopian Empire 1936–1941: Occupied by Italy 1270–1936: Ethiopian Empire c.1137–1270: Zagwe Kingdom",Addis Ababa
Fiji,Oceania,1970-10-10,full,10 Oct 1970,1970-10-10,full,10 Oct 1970,United Kingdom,"1987–present: Republic of Fiji 1970–1987: Dominion of Fiji , a monarchy in personal union with the United Kingdom",Suva
Finland,Europe,1917-12-06,full,6 Dec 1917,1918-01-04,full,4 Jan 1918,Russian Empire,1919–present: Republic of Finland 1918–1919: Kingdom of Finland 1918: Finnish Socialist Workers' Republic 1917: Republic of Finland,Helsinki
France,Europe,843,year,843,1944,year,1944,Germany,"1958—Present: French Republic (Fifth; consisted of integral regions (five being overseas regions) and several overseas collectivities ) 1946–1958: French Fourth Republic 1944–1946: Provisional Government of the French Republic 1940–1944: Free France , a government-in-exile of France, and member of the allies during WWII. 1940–1944: Occupied by Germany in WWII making Vichy France , a Nazi Puppet . 1870–1940: French Third Republic 1852–1870: Second French Empire 1848–1852: French Second Republic 1830–1848: July Monarchy 1814/5–1830: Bourbon Restoration 1804–1814/5: First French Empire 1792–1804: First French Republic 987–1792: Kingdom of France 843–987: Kingdom of West Francia (New State) (established by the Treaty of Verdun , after the dissolution of the Carolingian Empire )",Paris
Gabon,Africa,1960-08-17,full,17 Aug 1960,1960-08-17,full,17 Aug 1960,France,1960–present: Gabonese Republic,Libreville
Gambia,Africa,1965-02-18,full,18 Feb 1965,1965-02-18,full,18 Feb 1965,United Kingdom,"1989–present: Republic of The Gambia 1982-1989: In union with Senegal in the Senegambia Confederation 1970–1982: Republic of The Gambia 1965–1970: Gambia , a monarchy in personal union with the United Kingdom",Banjul
Georgia,Asia/Europe,1991-04-09,full,9 Apr 1991,1991-04-09,full,9 Apr 1991,Soviet Union,1991–Present: Republic of Georgia,Tbilisi
